web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620505741-10827,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,"Departamento de Lujo en renta amueblado, Campanario","$16,500",2,"2
                                    
                                
                                Baños",90 m²
1620505997-11501,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,"DEPARTAMENTO EN RENTA EN BIOSFERA TOWERS, JURIQUILLA, AMUEBLADO","$20,000",3,"2
                                    
                                
                                Baños",119 m²
1620506023-11616,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,DEPARTAMENTO EN RENTA VÉRTICE JURIQUILLA,"$13,500",2,"2
                                    
                                
                                Baños",90 m²
1620505636-10609,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,LUJOSO DEPARTAMENTO AMUEBLADO Y EQUIPADO DE 162 m2 CON AMPLIA TERRAZA,"$24,000",2,"2
                                    
                                
                                Baños",162 m²
1620505346-10467,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,RENTA DE DEPARTAMENTO 2 HABITACIONES VISTA DIAMANTE,"$22,000",2,"4
                                    
                                
                                Baños",196 m²
1620505988-11476,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Departamento Amueblado en Renta en Juriquilla Queretaro,"$24,000",2,"2
                                    
                                
                                Baños",107 m²
1620505891-11200,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,"TORRE MARBELLA, EL REFUGIO QUERÉTARO, BELLO DEPARTAMENTO EN RENTA.","$18,500",3,"3
                                    
                                
                                Baños",240 m²
1620505969-11427,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,"Amueblado en juriquilla con impresionante vista, penthouse de 344 mts2! Rahqro","$100,000",4,"4
                                    
                                
                                Baños",344 m²
1620505928-11319,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,"Se Renta Departamento AMUEBLADO en Santa Fe Juriquilla, Alegra Towers, de LUJO !","$20,000",1,"2
                                    
                                
                                Baños",98 m²
1620505836-11093,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,RENTA DEPARTAMENTO EN CONDOMINIO EXCELENTES AMENIDADES,"$16,500",2,"2
                                    
                                
                                Baños",100 m²
1620505872-11168,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,HERMOSO DEPARTAMENTO NUEVO EN RENTA AMUEBLADO UBICADO EN ALTERA TOWERS !!,"$17,500",3,"2
                                    
                                
                                Baños",128 m²
1620506008-11549,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento en renta en Juriquilla 21537 JL,"$23,501",3,"3
                                    
                                
                                Baños",184 m²
1620505636-10603,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,RENTA DE DEPARTAMENTO AMUEBLADO Y EQUIPADO EN CENTRAL PARK,"$30,000",2,"2
                                    
                                
                                Baños",160 m²
