web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620519006-14172,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=11,Casas en Venta en Fraccionamiento el Refugio,"$3,200,000",2.5,5.5,168
1620507683-11814,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,En venta casa en jurica de 510 mts2 con 3 recamaras y 4 baños y alberca jpc,"$13,500,000",3,4,445
1620517046-13960,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=18,Casa en venta en el Refugio AQC,"$2,380,000",3,3,110
1620514300-13647,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=29,Casa en venta El Refugio 3 habitaciones JRH,"$2,540,000",3,2.5,110
1620512932-12485,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=32,Casa en El Refugio de 3 recamaras y 154 mts2! GOC,"$2,625,000",2,3,154
1620501880-7871,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=3,"Excelente casa en Venta con Alberca en Cumbres del Lago, Juriquilla, Querétaro.","$6,900,000",3,3,357
1620518565-14128,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=12,"Venta casa Residencial El Refugio, Querétaro: 4 niveles, sótano y roof garden","$2,980,000",2,3,129
1620498537-7461,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=17,"¡Oportunidad! Excelente casa en condominio en Cumbres del Lago, vigilancia.","$2,900,000",3,2.5,160
1620512908-12482,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=32,El Refugio - Casa a estrenar con roof...,"$2,625,000",3,4,110
1620519110-14185,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=10,20-649 Casa en El Refugio de 170 mts2 Y 4 recámaras ATC,"$2,997,650",3,4,170
1620522509-14531,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=9,Casa en Preventa cerca de El Mirador,"$2,450,000",3,4,132
